[2020-10-19 22:10:57,319] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:880} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,325] {taskinstance.py:881} INFO - Starting attempt 1 of 2
[2020-10-19 22:10:57,325] {taskinstance.py:882} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,331] {taskinstance.py:901} INFO - Executing <Task(PythonOperator): generate_log> on 2020-10-19T16:30:15.912664+00:00
[2020-10-19 22:10:57,332] {standard_task_runner.py:54} INFO - Started process 16369 to run task
[2020-10-19 22:10:57,354] {standard_task_runner.py:77} INFO - Running: ['airflow', 'run', 'tutorial', 'generate_log', '2020-10-19T16:30:15.912664+00:00', '--job_id', '276', '--pool', 'default_pool', '--raw', '-sd', 'DAGS_FOLDER/tutorial.py', '--cfg_path', '/var/folders/4j/yctg8njd19g2873bfk914jqw0000gn/T/tmp06x9ao72']
[2020-10-19 22:10:57,355] {standard_task_runner.py:78} INFO - Job 276: Subtask generate_log
[2020-10-19 22:10:57,384] {logging_mixin.py:112} INFO - Running %s on host %s <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [running]> Arpitas-MacBook-Pro.local
[2020-10-19 22:10:57,757] {logging_mixin.py:112} INFO - 157.110.119.248 - "Frank Ortega" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 6007 "https://www.green.com/about.php" "Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/14.8y8662.0 Mobile/11O867 Safari/534.0"
[2020-10-19 22:10:57,760] {logging_mixin.py:112} INFO - 76.46.141.150 - "Ryan Pierce" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 4169 "https://www.hanson-torres.net/home.html" "Mozilla/5.0 (Windows NT 5.2; ga-IE; rv:1.9.2.20) Gecko/2019-01-01 22:26:01 Firefox/5.0"
[2020-10-19 22:10:57,762] {logging_mixin.py:112} INFO - 81.83.245.89 - "James Harris" [19/Oct/2020:22:10:57 +0530] "DELETE /app/main/posts HTTP/1.0" 200 393 "https://www.ramirez.com/list/register.asp" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/61.0.830.0 Safari/532.2"
[2020-10-19 22:10:57,764] {logging_mixin.py:112} INFO - 78.84.41.92 - "Kevin Bishop DDS" [19/Oct/2020:22:10:57 +0530] "PUT /apps/cart.jsp?appID= HTTP/1.0" 200 -4057 "https://pittman-salazar.com/index/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/17.2k4413.0 Mobile/18V094 Safari/536.0"
[2020-10-19 22:10:57,765] {logging_mixin.py:112} INFO - 125.198.88.1 - "Jennifer Arnold" [19/Oct/2020:22:10:57 +0530] "DELETE /wp-content HTTP/1.0" 200 6055 "https://mitchell.com/terms.jsp" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/11.8l5406.0 Mobile/49I145 Safari/535.1"
[2020-10-19 22:10:57,767] {logging_mixin.py:112} INFO - 65.124.29.159 - "James Aguirre" [19/Oct/2020:22:10:57 +0530] "PUT /posts/posts/explore HTTP/1.0" 200 -868 "https://www.holmes.biz/category/" "Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/57.0.868.0 Mobile/44V909 Safari/532.0"
[2020-10-19 22:10:57,769] {logging_mixin.py:112} INFO - 38.180.0.156 - "Tracy Hudson" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 -4302 "https://www.berry.com/posts/category/category.jsp" "Mozilla/5.0 (Windows NT 6.1; ga-IE; rv:1.9.1.20) Gecko/2017-12-17 06:32:29 Firefox/3.8"
[2020-10-19 22:10:57,770] {logging_mixin.py:112} INFO - 187.89.104.136 - "Dennis Sampson" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 -3023 "https://ali-walters.com/" "Opera/8.56.(Windows 98; hu-HU) Presto/2.9.162 Version/11.00"
[2020-10-19 22:10:57,772] {logging_mixin.py:112} INFO - 18.108.142.112 - "Matthew Zimmerman" [19/Oct/2020:22:10:57 +0530] "GET /apps/cart.jsp?appID= HTTP/1.0" 200 -1481 "https://zamora-rodriguez.info/tag/search/search/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/12.6w3972.0 Mobile/57G400 Safari/532.1"
[2020-10-19 22:10:57,774] {logging_mixin.py:112} INFO - 99.47.188.237 - "Megan Murphy" [19/Oct/2020:22:10:57 +0530] "POST /wp-content HTTP/1.0" 200 4264 "http://travis.info/" "Mozilla/5.0 (Android 5.0.1; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
[2020-10-19 22:10:57,776] {logging_mixin.py:112} INFO - 70.210.82.48 - "Travis Swanson" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 -1075 "http://www.johns-lane.com/" "Mozilla/5.0 (Windows NT 6.1; ht-HT; rv:1.9.1.20) Gecko/2016-04-29 02:30:58 Firefox/3.8"
[2020-10-19 22:10:57,778] {logging_mixin.py:112} INFO - 154.94.185.13 - "Kayla Miller" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 96 "http://www.jones.com/post.html" "Mozilla/5.0 (Android 3.2.6; Mobile; rv:15.0) Gecko/15.0 Firefox/15.0"
[2020-10-19 22:10:57,780] {logging_mixin.py:112} INFO - 161.6.46.168 - "Alec Tyler" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 -4306 "https://www.duncan-scott.com/about/" "Mozilla/5.0 (Windows NT 5.01; wal-ET; rv:1.9.1.20) Gecko/2017-01-03 22:05:24 Firefox/3.8"
[2020-10-19 22:10:57,782] {logging_mixin.py:112} INFO - 96.229.116.65 - "Regina Lopez" [19/Oct/2020:22:10:57 +0530] "POST /list HTTP/1.0" 200 1816 "http://www.murphy.com/login.php" "Mozilla/5.0 (Windows NT 6.1; aa-DJ; rv:1.9.0.20) Gecko/2015-04-12 05:00:48 Firefox/3.6.9"
[2020-10-19 22:10:57,783] {logging_mixin.py:112} INFO - 194.206.64.78 - "Nathan Richardson" [19/Oct/2020:22:10:57 +0530] "PUT /app/main/posts HTTP/1.0" 200 2746 "http://hensley-zimmerman.com/app/search/posts/register/" "Opera/9.54.(X11; Linux i686; ar-KW) Presto/2.9.162 Version/12.00"
[2020-10-19 22:10:57,785] {logging_mixin.py:112} INFO - 126.193.161.57 - "Logan Case" [19/Oct/2020:22:10:57 +0530] "DELETE /explore HTTP/1.0" 200 -5918 "http://hurley-fletcher.com/category/homepage.php" "Mozilla/5.0 (Windows NT 6.0; hi-IN; rv:1.9.0.20) Gecko/2017-09-17 01:55:14 Firefox/3.8"
[2020-10-19 22:10:57,787] {logging_mixin.py:112} INFO - 18.236.239.241 - "Angela Clarke" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 -1059 "http://vance-roberts.com/explore/tags/app/main.html" "Mozilla/5.0 (Android 1.6; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0"
[2020-10-19 22:10:57,788] {logging_mixin.py:112} INFO - 118.255.42.171 - "Sheila Ross" [19/Oct/2020:22:10:57 +0530] "DELETE /search/tag/list HTTP/1.0" 200 5048 "https://www.hoffman-cox.org/" "Mozilla/5.0 (Android 1.5; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0"
[2020-10-19 22:10:57,790] {logging_mixin.py:112} INFO - 70.105.189.214 - "Jennifer Hernandez" [19/Oct/2020:22:10:57 +0530] "POST /search/tag/list HTTP/1.0" 200 -1206 "https://hall-johnston.net/explore/explore/category/post/" "Mozilla/5.0 (Windows NT 5.2; nr-ZA; rv:1.9.0.20) Gecko/2018-11-03 04:10:22 Firefox/3.8"
[2020-10-19 22:10:57,792] {logging_mixin.py:112} INFO - 220.200.250.190 - "Nicole Decker DVM" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 7082 "http://www.clark-miller.com/explore/categories/app/author/" "Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/10.3s9864.0 Mobile/47N355 Safari/532.0"
[2020-10-19 22:10:57,793] {logging_mixin.py:112} INFO - 76.30.175.153 - "Ashley Johnson" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 1162 "http://www.vincent-wilcox.info/author.asp" "Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/59.0.868.0 Mobile/10B274 Safari/533.1"
[2020-10-19 22:10:57,795] {logging_mixin.py:112} INFO - 214.103.117.180 - "Kristen White" [19/Oct/2020:22:10:57 +0530] "POST /posts/posts/explore HTTP/1.0" 200 -853 "http://www.wheeler.com/login/" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1)"
[2020-10-19 22:10:57,797] {logging_mixin.py:112} INFO - 114.32.188.156 - "Autumn Barnett" [19/Oct/2020:22:10:57 +0530] "GET /app/main/posts HTTP/1.0" 301 -1044 "https://www.williamson.com/search.html" "Mozilla/5.0 (Windows 98; sw-KE; rv:1.9.1.20) Gecko/2019-10-18 05:29:09 Firefox/3.8"
[2020-10-19 22:10:57,798] {logging_mixin.py:112} INFO - 180.165.106.96 - "Maria Rivera" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 801 "http://vincent-garcia.biz/privacy/" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/35.0.889.0 Mobile/18D873 Safari/532.0"
[2020-10-19 22:10:57,800] {logging_mixin.py:112} INFO - 60.88.143.155 - "Whitney Clark" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 4676 "http://www.rivera.com/login/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_2; rv:1.9.4.20) Gecko/2010-09-22 20:01:14 Firefox/3.6.4"
[2020-10-19 22:10:57,801] {logging_mixin.py:112} INFO - 53.189.110.240 - "Willie Lopez" [19/Oct/2020:22:10:57 +0530] "PUT /explore HTTP/1.0" 200 6096 "http://www.lopez.com/categories/search/" "Opera/9.21.(X11; Linux i686; te-IN) Presto/2.9.183 Version/10.00"
[2020-10-19 22:10:57,802] {logging_mixin.py:112} INFO - 51.219.67.55 - "Christopher Thomas" [19/Oct/2020:22:10:57 +0530] "GET /posts/posts/explore HTTP/1.0" 200 3348 "http://www.bush.com/author.html" "Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/54.0.865.0 Safari/533.0"
[2020-10-19 22:10:57,804] {logging_mixin.py:112} INFO - 132.39.195.193 - "Michael Sampson" [19/Oct/2020:22:10:57 +0530] "PUT /posts/posts/explore HTTP/1.0" 200 -1237 "https://www.coffey-taylor.com/tags/list/wp-content/category.jsp" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_5; rv:1.9.2.20) Gecko/2016-01-28 16:46:39 Firefox/3.6.18"
[2020-10-19 22:10:57,805] {logging_mixin.py:112} INFO - 60.200.146.55 - "John Nguyen" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 3831 "https://www.maxwell.com/about.php" "Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; mag-IN) AppleWebKit/531.22.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.22.5"
[2020-10-19 22:10:57,807] {logging_mixin.py:112} INFO - 162.128.126.61 - "Kathy Williams" [19/Oct/2020:22:10:57 +0530] "PUT /wp-admin HTTP/1.0" 404 12791 "http://mooney-miller.com/posts/homepage/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/40.0.890.0 Safari/534.0"
[2020-10-19 22:10:57,808] {logging_mixin.py:112} INFO - 151.235.2.250 - "Michele Figueroa" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 7048 "http://wallace.com/explore/main/homepage.html" "Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/55.0.840.0 Mobile/31E818 Safari/531.0"
[2020-10-19 22:10:57,808] {python_operator.py:114} INFO - Done. Returned value was: None
[2020-10-19 22:10:57,812] {taskinstance.py:1070} INFO - Marking task as SUCCESS.dag_id=tutorial, task_id=generate_log, execution_date=20201019T163015, start_date=20201019T164057, end_date=20201019T164057
[2020-10-19 22:11:02,325] {local_task_job.py:102} INFO - Task exited with return code 0
